policy,n,mean_psnr_delta,median_psnr_delta,p10_psnr_delta,p05_psnr_delta,worst_psnr_delta,positive_ratio,regression_le_0p2_count,regression_le_0p5_count
A0,600,0.0,0.0,0.0,0.0,0.0,0.0,0,0
DISAGREE_CKPT_RESP_MAG_TOP50,600,0.0053654712309296575,0.0006097373463838096,-0.07946590216918743,-0.10774653171105904,-0.23609947256173314,0.5083333333333333,2,0
DISAGREE_FLIP_GATE_MAG_TOP50,600,0.012928490254298482,-0.0010759805321356453,-0.12151199691896011,-0.17617702338978383,-0.40053883645291677,0.48833333333333334,23,0
DISAGREE_FLIP_RESP_MAG_TOP50,600,0.004249399336352907,-0.0016712377127170441,-0.06711316035870993,-0.08642777120430783,-0.21956068050231892,0.475,1,0
GT_OPEN_TOP50_ORACLE,600,0.4116953788592617,0.33818029021220397,0.06077173794563464,0.025131842203379228,-0.0005985447974339309,0.995,0,0
HARD_D7C_ALPHA1,600,0.012783813961729357,-0.0010759805321356453,-0.12151199691896011,-0.17617702338978383,-0.40053883645291677,0.485,23,0
OOF_DISAGREE_DW3X3_TOP50,600,0.009661906470669782,0.0004683907105906826,-0.05950662683297665,-0.09565557922329226,-0.21682922229811652,0.5083333333333333,2,0
OOF_DISAGREE_LINEAR_TOP50,600,0.010533515306167363,0.0006762871007488513,-0.060376372691455765,-0.08384115350228108,-0.24293141367553517,0.52,1,0
RANDOM_TOP50,600,0.007389972525718154,-7.19974423226688e-05,-0.06103813937920251,-0.08585352106844511,-0.19739127908449916,0.49833333333333335,0,0
V3H_RESIDUAL_ABS_TOP25,600,0.008815884399276493,0.0010774753445659258,-0.033060962571209274,-0.05089539639077359,-0.09442086033984509,0.5366666666666666,0,0
