operator_label,split,feature,bin,n,feature_min,feature_max,direct_severe_le_0p2_rate,direct_hard_le_0p5_rate,fixed025_severe_le_0p2_rate,fixed05_severe_le_0p2_rate,wrong_direction_rate,harmful_overshoot_rate,wrong_or_harmful_rate,oracle_image_alpha_eq0_rate,oracle_image_alpha_le_0p125_rate,oracle_image_alpha_gt_0p125_rate,direct_psnr_delta_mean,fixed_alpha_0p125_psnr_delta_mean,fixed_alpha_0p25_psnr_delta_mean,oracle_image_selected_alpha_mean,alpha_star_mean,oracle_image_psnr_delta_mean
D_ref,CONFIRM_AUDIT_ONLY,haze_mean,0,120,0.15900064212647824,0.46429109011048086,0.26666666666666666,0.06666666666666667,0.0,0.05,0.36666666666666664,0.26666666666666666,0.6333333333333333,0.375,0.4583333333333333,0.5416666666666666,-0.029628961245920554,0.014958793114518799,0.02456738111020022,0.39765625,0.43202243594552997,0.11905951430711284
D_ref,CONFIRM_AUDIT_ONLY,haze_mean,1,120,0.4648750859456282,0.5771154284922841,0.3,0.10833333333333334,0.025,0.09166666666666666,0.275,0.30833333333333335,0.5833333333333334,0.2833333333333333,0.35,0.65,-0.005135147428957035,0.02586968480682691,0.044200091358599695,0.45546875,0.6170405308227461,0.1742346486815757
D_ref,CONFIRM_AUDIT_ONLY,haze_mean,2,120,0.5774620391394576,0.6570215357056819,0.20833333333333334,0.09166666666666666,0.016666666666666666,0.075,0.225,0.23333333333333334,0.4583333333333333,0.225,0.2916666666666667,0.7083333333333334,0.05908253216837472,0.03408973087964385,0.060700478829703496,0.53828125,0.7225209910004611,0.2012089329936683
D_ref,CONFIRM_AUDIT_ONLY,haze_mean,3,120,0.6577473486569821,0.7299610208006122,0.125,0.06666666666666667,0.016666666666666666,0.05,0.25,0.15833333333333333,0.4083333333333333,0.25,0.2916666666666667,0.7083333333333334,0.17775220978700595,0.03959057227789608,0.07438608061427963,0.60078125,1.3593312271974214,0.28441563194280234
D_ref,CONFIRM_AUDIT_ONLY,haze_mean,4,120,0.7300524432134117,0.8838596783294314,0.14166666666666666,0.058333333333333334,0.03333333333333333,0.058333333333333334,0.18333333333333332,0.10833333333333334,0.2916666666666667,0.18333333333333332,0.20833333333333334,0.7916666666666666,0.30611560789950937,0.051133216326065364,0.09881456045849761,0.70859375,1.797641590920284,0.40149204214760936
D_ref,OOF,haze_mean,0,240,0.1266209588588345,0.47428444028116246,0.3125,0.13333333333333333,0.0125,0.12083333333333333,0.38333333333333336,0.2708333333333333,0.6541666666666667,0.4083333333333333,0.49166666666666664,0.5083333333333333,-0.07252384955366228,0.011547161780013611,0.017153699470443807,0.3546875,0.32052458681099466,0.11197297667473395
D_ref,OOF,haze_mean,1,240,0.47469596665096414,0.5846717753778936,0.2833333333333333,0.09166666666666666,0.004166666666666667,0.0625,0.2708333333333333,0.3458333333333333,0.6166666666666667,0.2833333333333333,0.37083333333333335,0.6291666666666667,-0.028350193768541577,0.023675610808793775,0.03957640065084161,0.4234375,0.5059714078298402,0.14084032375469813
D_ref,OOF,haze_mean,2,240,0.5847203354177388,0.6596554574894602,0.225,0.09583333333333334,0.016666666666666666,0.07916666666666666,0.24583333333333332,0.21666666666666667,0.4625,0.25833333333333336,0.32916666666666666,0.6708333333333333,0.06309242478178949,0.033259356995347565,0.05947562081176581,0.520703125,nan,0.20672642104830358
D_ref,OOF,haze_mean,3,240,0.6606939131271676,0.7315046266653837,0.1875,0.1,0.020833333333333332,0.07916666666666666,0.2375,0.13333333333333333,0.37083333333333335,0.25416666666666665,0.2875,0.7125,0.16022620954364605,0.036931985399975234,0.06914148042977558,0.6364583333333333,1.414386959681747,0.2877253624272515
D_ref,OOF,haze_mean,4,240,0.7326973233050861,0.8956879873576603,0.14583333333333334,0.075,0.008333333333333333,0.07083333333333333,0.20833333333333334,0.15,0.35833333333333334,0.20833333333333334,0.2375,0.7625,0.2087959613585811,0.0430309329375907,0.0814886867714845,0.647265625,1.2673166885608975,0.3054187739541697
