operator_label,repair_type,category,active_blocks,repairable_blocks,repairable_fraction
D_ref,channel_scale,beneficial_but_oversized,24451,24451,1.0
D_ref,channel_scale,conservative_or_ok,268986,268964,0.9999182113567249
D_ref,channel_scale,harmful_overshoot,26370,19729,0.7481607887751233
D_ref,channel_scale,wrong_direction,184188,33280,0.18068495233131365
D_ref,direct_clean,beneficial_but_oversized,24451,24451,1.0
D_ref,direct_clean,conservative_or_ok,268986,266829,0.9919809952934353
D_ref,direct_clean,harmful_overshoot,26370,26370,1.0
D_ref,direct_clean,wrong_direction,184188,184184,0.999978283058614
D_ref,direction_line,beneficial_but_oversized,24451,24451,1.0
D_ref,direction_line,conservative_or_ok,268986,268986,1.0
D_ref,direction_line,harmful_overshoot,26370,26370,1.0
D_ref,direction_line,wrong_direction,184188,184184,0.999978283058614
D_ref,scale,beneficial_but_oversized,24451,24451,1.0
D_ref,scale,conservative_or_ok,268986,268964,0.9999182113567249
D_ref,scale,harmful_overshoot,26370,12658,0.4800151687523701
D_ref,scale,wrong_direction,184188,160,0.000868677655439008
D_rep,channel_scale,beneficial_but_oversized,24596,24596,1.0
D_rep,channel_scale,conservative_or_ok,268644,268636,0.9999702208126741
D_rep,channel_scale,harmful_overshoot,26318,19822,0.7531727334903868
D_rep,channel_scale,wrong_direction,184437,36667,0.19880501200952086
D_rep,direct_clean,beneficial_but_oversized,24596,24596,1.0
D_rep,direct_clean,conservative_or_ok,268644,266527,0.9921196825538631
D_rep,direct_clean,harmful_overshoot,26318,26318,1.0
D_rep,direct_clean,wrong_direction,184437,184433,0.9999783123776682
D_rep,direction_line,beneficial_but_oversized,24596,24596,1.0
D_rep,direction_line,conservative_or_ok,268644,268644,1.0
D_rep,direction_line,harmful_overshoot,26318,26318,1.0
D_rep,direction_line,wrong_direction,184437,184433,0.9999783123776682
D_rep,scale,beneficial_but_oversized,24596,24596,1.0
D_rep,scale,conservative_or_ok,268644,268636,0.9999702208126741
D_rep,scale,harmful_overshoot,26318,12634,0.4800516756592446
D_rep,scale,wrong_direction,184437,162,0.000878348704435661
