operator_label,repair_type,category,active_blocks,repairable_blocks,repairable_fraction
D_ref,channel_scale,beneficial_but_oversized,497,497,1.0
D_ref,channel_scale,conservative_or_ok,8680,8680,1.0
D_ref,channel_scale,harmful_overshoot,480,332,0.6916666666666667
D_ref,channel_scale,wrong_direction,4494,562,0.12505562972852693
D_ref,direct_clean,beneficial_but_oversized,497,497,1.0
D_ref,direct_clean,conservative_or_ok,8680,8633,0.9945852534562212
D_ref,direct_clean,harmful_overshoot,480,480,1.0
D_ref,direct_clean,wrong_direction,4494,4494,1.0
D_ref,direction_line,beneficial_but_oversized,497,497,1.0
D_ref,direction_line,conservative_or_ok,8680,8680,1.0
D_ref,direction_line,harmful_overshoot,480,480,1.0
D_ref,direction_line,wrong_direction,4494,4494,1.0
D_ref,scale,beneficial_but_oversized,497,497,1.0
D_ref,scale,conservative_or_ok,8680,8680,1.0
D_ref,scale,harmful_overshoot,480,247,0.5145833333333333
D_ref,scale,wrong_direction,4494,2,0.0004450378282153983
D_rep,channel_scale,beneficial_but_oversized,511,511,1.0
D_rep,channel_scale,conservative_or_ok,8662,8662,1.0
D_rep,channel_scale,harmful_overshoot,499,358,0.717434869739479
D_rep,channel_scale,wrong_direction,4479,708,0.1580709979906229
D_rep,direct_clean,beneficial_but_oversized,511,511,1.0
D_rep,direct_clean,conservative_or_ok,8662,8611,0.9941122142692219
D_rep,direct_clean,harmful_overshoot,499,499,1.0
D_rep,direct_clean,wrong_direction,4479,4479,1.0
D_rep,direction_line,beneficial_but_oversized,511,511,1.0
D_rep,direction_line,conservative_or_ok,8662,8662,1.0
D_rep,direction_line,harmful_overshoot,499,499,1.0
D_rep,direction_line,wrong_direction,4479,4479,1.0
D_rep,scale,beneficial_but_oversized,511,511,1.0
D_rep,scale,conservative_or_ok,8662,8662,1.0
D_rep,scale,harmful_overshoot,499,232,0.4649298597194389
D_rep,scale,wrong_direction,4479,4,0.0008930564858227283
