calibration_fold,calibration_units,cell,epochs,fold,harm_threshold,learning_rate,margin_threshold,optimizer,seed,severe_threshold,test_units,train_units,weight_decay
1,384,joint_utility_risk,32,0,0.5,0.001,-0.03535202518105507,AdamW,3407,0.05,384,768,0.0001
1,384,independent_scalar,32,0,0.0,0.001,inf,AdamW,3407,0.0,384,768,0.0001
1,384,risk_disabled,32,0,0.0,0.001,inf,AdamW,3407,0.0,384,768,0.0001
1,384,joint_utility_risk,32,0,0.0,0.001,inf,AdamW,3411,0.0,384,768,0.0001
1,384,independent_scalar,32,0,0.0,0.001,inf,AdamW,3411,0.0,384,768,0.0001
1,384,risk_disabled,32,0,0.0,0.001,inf,AdamW,3411,0.0,384,768,0.0001
2,384,joint_utility_risk,32,1,0.5,0.001,-0.09970717877149582,AdamW,3407,0.05,384,768,0.0001
2,384,independent_scalar,32,1,0.0,0.001,inf,AdamW,3407,0.0,384,768,0.0001
2,384,risk_disabled,32,1,0.0,0.001,inf,AdamW,3407,0.0,384,768,0.0001
2,384,joint_utility_risk,32,1,0.0,0.001,inf,AdamW,3411,0.0,384,768,0.0001
2,384,independent_scalar,32,1,0.0,0.001,inf,AdamW,3411,0.0,384,768,0.0001
2,384,risk_disabled,32,1,0.0,0.001,inf,AdamW,3411,0.0,384,768,0.0001
3,384,joint_utility_risk,32,2,0.5,0.001,-0.07565109431743622,AdamW,3407,0.05,384,768,0.0001
3,384,independent_scalar,32,2,0.0,0.001,inf,AdamW,3407,0.0,384,768,0.0001
3,384,risk_disabled,32,2,0.0,0.001,inf,AdamW,3407,0.0,384,768,0.0001
3,384,joint_utility_risk,32,2,0.0,0.001,inf,AdamW,3411,0.0,384,768,0.0001
3,384,independent_scalar,32,2,0.0,0.001,inf,AdamW,3411,0.0,384,768,0.0001
3,384,risk_disabled,32,2,0.0,0.001,inf,AdamW,3411,0.0,384,768,0.0001
0,384,joint_utility_risk,32,3,0.0,0.001,inf,AdamW,3407,0.0,384,768,0.0001
0,384,independent_scalar,32,3,0.0,0.001,inf,AdamW,3407,0.0,384,768,0.0001
0,384,risk_disabled,32,3,0.0,0.001,inf,AdamW,3407,0.0,384,768,0.0001
0,384,joint_utility_risk,32,3,0.0,0.001,inf,AdamW,3411,0.0,384,768,0.0001
0,384,independent_scalar,32,3,0.0,0.001,inf,AdamW,3411,0.0,384,768,0.0001
0,384,risk_disabled,32,3,0.0,0.001,inf,AdamW,3411,0.0,384,768,0.0001
