bin,cell,count,event_rate,high,low,mean_probability,target
0,S_utility_risk,337,0.04451038575667656,0.1,0.0,0.05152227712148463,severe
1,S_utility_risk,153,0.1111111111111111,0.2,0.1,0.14172495804191415,severe
2,S_utility_risk,56,0.35714285714285715,0.3,0.2,0.24135384442550795,severe
3,S_utility_risk,36,0.3888888888888889,0.4,0.3,0.3431780305173662,severe
4,S_utility_risk,26,0.5384615384615384,0.5,0.4,0.46027918045337385,severe
5,S_utility_risk,28,0.6428571428571429,0.6,0.5,0.5530190318822861,severe
6,S_utility_risk,38,0.5,0.7,0.6,0.6511548820294832,severe
7,S_utility_risk,41,0.5365853658536586,0.8,0.7,0.7616554018927784,severe
8,S_utility_risk,48,0.7916666666666666,0.9,0.8,0.8365271339813868,severe
9,S_utility_risk,5,0.8,1.0,0.9,0.9184683799743653,severe
