cell,cvar5_gain_db,groups,mean_gain_db,mean_harm_db,operator,p10_gain_db,protected_cells,row_type,shape,valid_groups,worst20_mean_gain_db
S1_TRUE_SPATIAL_RESPONSE,-0.24680709838867188,197,0.04809679718792136,,D_ref,0.0,,native_shape_tail,400x400,,-0.12395572662353516
S1_TRUE_SPATIAL_RESPONSE,-0.2213665008544922,187,0.004177379098168031,,D_ref,0.0,,native_shape_tail,480x640,,-0.11235027313232422
S1_TRUE_SPATIAL_RESPONSE,-0.25606708526611327,197,0.047101616254312736,,D_rep,0.0,,native_shape_tail,400x400,,-0.12838411331176758
S1_TRUE_SPATIAL_RESPONSE,-0.22578887939453124,187,0.00364878853374624,,D_rep,0.0,,native_shape_tail,480x640,,-0.11491241455078124
P0_POOLED_DC_ONLY,-0.10105628967285156,197,0.011557225648521772,,D_ref,-0.0006523132324218749,,native_shape_tail,400x400,,-0.05353221893310547
P0_POOLED_DC_ONLY,-0.025560760498046876,187,0.0001319232471486464,,D_ref,0.0,,native_shape_tail,480x640,,-0.01297149658203125
P0_POOLED_DC_ONLY,-0.10347118377685546,197,0.011213651163323882,,D_rep,-0.0008255004882812496,,native_shape_tail,400x400,,-0.055214977264404295
P0_POOLED_DC_ONLY,-0.02772216796875,187,5.636368205840575e-05,,D_rep,0.0,,native_shape_tail,480x640,,-0.013861083984375
S1_TRUE_SPATIAL_RESPONSE,,384,,0.02534598765756123,D_ref,,3790,protected_cell_harm,,315,
S1_TRUE_SPATIAL_RESPONSE,,384,,0.026991049664490875,D_rep,,3780,protected_cell_harm,,313,
P0_POOLED_DC_ONLY,,384,,0.009487565797936108,D_ref,,3790,protected_cell_harm,,315,
P0_POOLED_DC_ONLY,,384,,0.0106909475465547,D_rep,,3780,protected_cell_harm,,313,
