cell,field,float64_exact_mismatches,float64_max_abs_difference,native_exact_mismatches,native_max_abs_difference,rows
G0_GENERIC_STATE_SPATIAL,mean_score,893,5.960464477539063e-08,0,0.0,1536
G0_GENERIC_STATE_SPATIAL,q05_score,899,5.960464477539063e-08,0,0.0,1536
G0_GENERIC_STATE_SPATIAL,severe_score,987,2.9802322387695312e-08,0,0.0,1536
P0_POOLED_DC_ONLY,mean_score,720,2.9802322387695312e-08,0,0.0,1536
P0_POOLED_DC_ONLY,q05_score,795,2.9802322387695312e-08,0,0.0,1536
P0_POOLED_DC_ONLY,severe_score,795,2.9802322387695312e-08,0,0.0,1536
S1_TRUE_SPATIAL_RESPONSE,mean_score,799,2.9802322387695312e-08,0,0.0,1536
S1_TRUE_SPATIAL_RESPONSE,q05_score,915,5.960464477539063e-08,0,0.0,1536
S1_TRUE_SPATIAL_RESPONSE,severe_score,1005,2.9802322387695312e-08,0,0.0,1536
S2_SPATIAL_RESPONSE_SHUFFLE,mean_score,806,5.960464477539063e-08,0,0.0,1536
S2_SPATIAL_RESPONSE_SHUFFLE,q05_score,895,1.1920928955078125e-07,0,0.0,1536
S2_SPATIAL_RESPONSE_SHUFFLE,severe_score,1032,2.9802322387695312e-08,0,0.0,1536
